"id";"name";"countryCode";"closedProgram";"paused";"categoryIds:0";"categoryIds:1";"categoryNames:0";"categoryNames:1";"logoUrl";"prepayment";"createdDate";"startDate";"statusId";"statusName";"avgEpc";"avgPaymentDays";"avgCancellationRate";"productFeed";"keywordPolicyId";"implementationTypeId";"autoAccept";"daysToAutoAccept";"applicationDate";"updatedDate";"cpc";"cpuv";"cpl";"cpa";"showPerformance";"acceptClaims";"currencyCode";"homePage";"deepLinking";"vouchers";"endingReasonId";"endingReason"
"320416";"FALKE";"AT";"false";"false";"7";"";"Fashion";"";"https://hst.tradedoubler.com/file/320416/common/p-058498d77757fb1c1fab37249899607c.png";"false";"2021-07-18 00:00";"2021-07-18 00:00";"0";"NONE";"74.53";"27";"0.04";"true";"0";"3";"false";"4";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.falke.com/at_de/";"true";"false";"";""
"362727";"Fruugo Austria";"AT";"false";"false";"16";"";"Shopping & Retail";"";"https://hst.tradedoubler.com/file/359308/common/p-545a828e6aae28c21208ab3e798f47a3.jpg";"false";"2024-08-12 15:20";"2024-08-12 00:00";"0";"NONE";"0";"21";"0";"true";"0";"6";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.fruugo.at/";"true";"false";"";""
"391300";"GAIM Affiliate Program Austria";"AT";"false";"false";"1";"";"Gaming";"";"https://hst.tradedoubler.com/file/391300/common/p-efb104825ddbe9e1471c21323604ddae.png";"false";"2025-09-17 14:18";"2025-09-17 00:00";"0";"NONE";"0";"0";"0";"false";"0";"6";"false";"1";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.gaim.com/";"true";"false";"";""
"321703";"Galaxus.at";"AT";"false";"false";"10";"13";"Computers & Electronics";"Media & Entertainment";"https://hst.tradedoubler.com/file/302027/Galaxus_logo_200x70.jpg";"false";"2021-09-08 00:00";"2021-09-08 00:00";"0";"NONE";"151.69";"10";"0.21";"true";"2";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.galaxus.at/";"true";"false";"";""
"301198";"getyourguide.at";"AT";"false";"false";"11";"";"Travel";"";"https://hst.tradedoubler.com/file/301198/common/p-9c032547166d91a29dba62ecf036180e.png";"false";"2019-09-04 00:00";"2019-09-25 00:00";"0";"NONE";"84.14";"27";"0.13";"false";"0";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.getyourguide.com/de-at/";"true";"true";"";""
"319188";"Grover AT";"AT";"false";"false";"10";"";"Computers & Electronics";"";"http://hst.tradedoubler.com/file/319105/DE/grover_200x70.png";"false";"2021-06-11 00:00";"2021-08-04 00:00";"0";"NONE";"110.59";"24";"0.02";"true";"3";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.grover.com/at-de";"true";"true";"";""
"327920";"Hello Fresh AT  ";"AT";"false";"false";"17";"";"Food & Drink";"";"http://hst.tradedoubler.com/file/327175/HelloFreshBanner/200x184.png";"false";"2022-04-01 00:00";"2022-04-01 00:00";"0";"NONE";"0";"0";"0";"false";"0";"3";"false";"";"";"";"false";"false";"false";"true";"true";"false";"EUR";"https://hellofresheuro.sjv.io/c/2216680/577843/9318";"true";"false";"";""
"217737";"HSE.at";"AT";"false";"false";"5";"14";"Health & Beauty";"Home & Garden";"http://hst.tradedoubler.com/file/217737/HSE_200.png";"false";"2012-02-21 00:00";"2012-02-21 00:00";"0";"NONE";"40.52";"31";"0.13";"true";"3";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.hse.at/";"true";"false";"";""
"393006";"Huawei AT";"AT";"false";"false";"10";"16";"Computers & Electronics";"Shopping & Retail";"https://hst.tradedoubler.com/file/304855/logo/200X70.png?_gl=1*1bqbgwx*_ga*NjE3MTMwMDQwLjE3NjI0Mjg0ODY.*_ga_0PHYZDPTR8*czE3NjI3OTE4ODYkbzExJGcxJHQxNzYyNzkxODk0JGo1MiRsMCRoMA..";"false";"2025-11-05 09:43";"2025-11-05 00:00";"0";"NONE";"0";"0";"0";"true";"3";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://consumer.huawei.com/at/";"true";"true";"";""
"343776";"Ielts Practice Tests - AT";"AT";"false";"false";"3";"20";"Education & Careers";"program.fixture.category.label_20";"https://grow-platform.tradedoubler.com/uploads/organizations/2345946/p-397961f0325b42558ca76c107dbef59c.png";"false";"2023-06-15 17:48";"2023-06-15 00:00";"0";"NONE";"0";"0";"0";"false";"0";"6";"true";"0";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://ielts-practice-tests.com/";"true";"false";"";""
"294343";"kfzteile24";"AT";"false";"false";"16";"19";"Shopping & Retail";"Automotive";"https://hst.tradedoubler.com/file/294343/common/p-590051c5401cd734bdeb6f074654d060.jpg";"false";"2018-10-30 00:00";"2018-11-30 00:00";"0";"NONE";"0";"27";"0";"true";"0";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.kfzteile24.at/";"true";"false";"";""
"310149";"Luis Trenker";"AT";"false";"false";"7";"";"Fashion";"";"http://hst.tradedoubler.com/file/310133/logo/LuisTrenker_Logo100x70.png";"false";"2020-10-20 00:00";"2020-10-26 00:00";"0";"NONE";"95.6";"34";"0.47";"true";"0";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.luistrenker.com/";"true";"false";"";""
"397508";"MK Angelsport (AT)";"AT";"false";"false";"9";"";"Sports & Recreation";"";"https://hst.tradedoubler.com/file/397508/common/p-44309962de0c5f0d142bf05480c7bc42.png";"false";"2026-02-24 15:53";"2026-02-24 00:00";"0";"NONE";"0";"0";"0";"true";"0";"6";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.mk-angelsport.at/";"true";"true";"";""
"375208";"Mr Beam Shop new";"AT";"false";"false";"16";"";"Shopping & Retail";"";"https://hst.tradedoubler.com/file/375208/common/p-0f1b77422ce65f3225bee3dba7eb0f2c.png";"true";"2025-02-17 15:38";"2025-02-17 00:00";"0";"NONE";"32.01";"0";"0";"true";"0";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://mr-beam.org";"true";"false";"";""
"365820";"NordPass AT";"AT";"false";"false";"10";"";"Computers & Electronics";"";"https://hst.tradedoubler.com/file/365818/logos/Logo-100x35.png";"false";"2024-12-09 12:37";"2024-12-09 00:00";"0";"NONE";"0";"0";"0";"false";"0";"6";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://go.nordpass.io/aff_c?offer_id=734&aff_id=112696&url_id=29247";"true";"false";"";""
"317491";"NordVPN AT";"AT";"false";"false";"8";"10";"Telecoms & Utilities";"Computers & Electronics";"http://hst.tradedoubler.com/file/317445/logos/200.png";"false";"2021-04-27 00:00";"2021-04-27 00:00";"0";"NONE";"0";"25";"0";"false";"0";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://go.nordvpn.net/aff_c?offer_id=417&aff_id=56052&url_id=10302";"true";"false";"";""
"384987";"Olympus/OM System AT";"AT";"false";"false";"16";"";"Shopping & Retail";"";"https://hst.tradedoubler.com/file/384987/common/p-d63f50edd1abcc5a0f86d6dc346d7b05.png";"true";"2025-07-29 12:56";"2025-07-29 00:00";"0";"NONE";"7.06";"0";"0";"true";"0";"6";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://explore.omsystem.com/at/de/";"true";"false";"";""
"392909";"OneBioShop AT";"AT";"false";"false";"5";"";"Health & Beauty";"";"https://hst.tradedoubler.com/file/392909/common/p-a960e37c62774dcf21a9d3a37fcc1600.png";"false";"2025-11-01 15:37";"2025-11-01 00:00";"0";"NONE";"0";"12";"0.06";"true";"0";"6";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://onebioshop.com/de";"true";"true";"";""
"392977";"Papique AT";"AT";"false";"false";"5";"";"Health & Beauty";"";"https://hst.tradedoubler.com/file/392977/common/p-a4ca2df72f8c3c8bd3ea1d5b3d05f735.png";"false";"2025-11-04 13:50";"2025-11-04 00:00";"0";"NONE";"0";"12";"0.2";"false";"0";"6";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://papique.com/de";"true";"true";"";""
